Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16
DIVISLAB.NS,DIVISLAB.NS,0.030414853573110263,-0.013830913554635562,0.026293303052886883,-0.06288769715206144,0.015573806273619505,-0.03277936358924068,-0.04164248732534322,0.0032798868591140617,0.023945025145107893,-0.052940288546391163,-0.023588602597470025,0.008041781535336355,0.03489095842989173,0.0020396442937457974,-0.026845638483934408,0.014606391484732716
DRREDDY.NS,DRREDDY.NS,0.03811544732318337,0.00962761387082374,0.05962334828035402,-0.05450840386792805,0.005186332989462526,-0.019966095283602093,0.022829422457015233,-0.0007803833500796754,0.05774708213174731,0.0009053342450475389,-0.03602613443414885,0.010626964020042188,0.014120122334485471,-0.037587551159753804,-0.03759521795552712,-0.014801029551750024
EICHERMOT.NS,EICHERMOT.NS,-0.012100386285650829,-0.023466076597917686,0.03395810601240598,0.013083639992413264,-0.0119225879625925,0.07024510836851765,0.006364475769810142,0.02356678491008284,0.010937847168090537,0.015153829807178183,0.0037888025542800823,-0.025623662801171038,0.013358882163874599,0.01963127345669637,0.07264976329884142,0.03951793092336076
GAIL.NS,GAIL.NS,-0.018514034965981682,0.04118585297070832,0.01618643660001241,0.03392710711283555,0.02186337473600013,-0.03966839750415154,0.00031192152654898117,-0.017473931010434308,-0.031694504406763024,-0.011106178369977538,-0.026131795198525914,0.03993001145250902,0.0005146472938589517,0.0325249781077528,-0.02648871533013864,0.03815882390096617
GRASIM.NS,GRASIM.NS,-0.01694903890301025,0.010450938983386207,-0.026425868248610773,-0.030056462240297805,0.033280970636524305,0.034154011548180326,-0.0023282963982562315,-0.0032014270139819174,-0.015839474684683375,-0.012535476343331627,0.008271995856970542,-0.004304050568978975,-0.023085998284807632,-0.03797607991310364,0.03197192888285888,-0.030777844987949506
HCLTECH.NS,HCLTECH.NS,0.07321038064126416,0.006719066744131482,-0.008319444939850387,0.031046091218361327,-0.004800167408939368,0.020930331882497887,0.004624947018848124,0.002264933384070064,0.018162095722025172,-0.0027532143309909507,0.018716841212523695,0.004235017087801399,-0.029165864669779364,0.008248209581360758,0.022460514915723293,-0.00519396702712413
HDFCBANK.NS,HDFCBANK.NS,-0.015900217219682083,-0.038282683403764235,-0.023928200644313707,0.001797157924465532,-0.029861407729825245,-0.019396683848121994,-0.0055796927847487346,-0.02537198017345916,0.004235361045409758,0.04101671515262821,-0.011413331645441702,0.029049731585461046,-0.02920216796691355,0.010142218653471292,0.010595260055288658,-0.01486639698483779
HEROMOTOCO.NS,HEROMOTOCO.NS,-0.012096823294373697,-0.022638620364445132,0.0474718874532886,0.027534827268539556,-0.017327387936873787,0.04405194266388565,0.009908667071375962,-0.027489322083415643,-0.05501257828624983,0.01718528417796978,0.01987880653244277,0.00090305772831844,0.030321820391209838,-0.019337175005704928,-0.023860250545118176,-0.005142622713681098
HINDALCO.NS,HINDALCO.NS,-0.004986019662644443,0.04547995340133492,-0.0033772022870753628,0.0008566644832168071,0.020114238269780718,0.02650590951143891,-0.04085081672455333,-0.04559694920533578,-0.03511658946577206,0.04267195015215427,-0.016782643280950037,-0.02452027122097457,0.021564176517226984,0.012232193786662337,-0.013086884588334555,0.03545400228486139
HINDPETRO.NS,HINDPETRO.NS,-0.04112997296000832,-0.00663291428614014,0.009907089985942218,0.06275332599436982,0.04497946279189143,-0.031985550246812426,0.007134108298982768,-0.014712853266891392,0.032365755606329316,-0.029763206114663158,-0.019925056294935017,-0.05129974668448415,-0.006899646822575441,-0.016059708039278024,0.005181992520423268,-0.025202359182496664
HINDUNILVR.NS,HINDUNILVR.NS,0.012547760299981319,-0.056886010209172604,0.01320405619153897,0.007122827723127726,0.03224124533064045,-0.03712793150497635,0.017262081297027696,0.01855666185842017,-0.046595752962052504,0.022770342890687266,0.024251004703846772,-0.020936890429718292,0.00479370469680715,0.011094255431808066,-0.014695041868993727,0.007398557023432348
ICICIBANK.NS,ICICIBANK.NS,-0.024049010040893652,-0.002554964855388318,-0.03883949770414811,-0.04203901454557706,-0.05215562200094402,-0.019446733744738647,0.028439436737943156,-0.024649975574748607,0.0065048229005045715,-0.004750422971516221,0.011644849312468824,-0.024032334978830245,0.02360056520989143,-0.00021179032149588344,-0.0066319784000291905,0.0024086800553422606
INDUSINDBK.NS,INDUSINDBK.NS,-0.02527321651719706,-0.023296680158946936,-0.00719049658530878,-0.005269455053753041,-0.00975054627001897,-0.006500629734010224,-0.05672916165623884,-0.02263558641296311,-0.0007605786077899489,0.020679833769853967,-0.033532697639773214,-0.004517674710620948,-0.044988184342519576,-0.0004957499843386774,0.040167149610570455,-0.029085811699424174
INFY.NS,INFY.NS,0.07696872146682318,-0.005137371270261869,-0.036103843075467136,0.020968241976880304,-0.011284613344332553,-0.01122426478617678,0.004621270632634175,0.00541643377566463,-0.014211242921221869,0.014049609203901154,-0.011963768857980426,0.00952689842123489,0.009422921662711234,-0.008943249692655766,-0.005732889817155254,-0.04102068177311665
