Price,Ticker,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12
HDFCBANK.NS,HDFCBANK.NS,0.17308223755030874,0.053873621239515106,0.022530634612204673,0.0211684840644636,0.09593335763941252,0.018280763690594965,0.0003409466234682267,0.025785255029720115,0.04740106764318648,-0.032214692430277594,0.0550201828738752,-0.003957992439774176
HEROMOTOCO.NS,HEROMOTOCO.NS,0.022092194581310624,-0.07392203694127536,-0.08852031138642301,0.08783887923727615,-0.12361238154861819,-0.11238104811606345,-0.060262505527237546,0.02439872214924329,0.04650015810314499,-0.047519391567788755,0.09045180945850398,-0.1105066331430674
HINDALCO.NS,HINDALCO.NS,-0.07499823422570663,0.07041146323568656,-0.053444959730987965,0.07067043624683592,-0.020945292148320475,0.10695573215366276,-0.011367292452284647,-0.11189673809760642,-0.08585440049919583,-0.08934899439063404,0.062066891290447325,0.03248980058231004
HINDPETRO.NS,HINDPETRO.NS,0.008273167876970897,0.09118085847833174,0.04801051433792692,0.010515259609656227,0.06676293620721512,-0.06052713538532735,-0.05447956001157449,0.025449712682825833,-0.09175933076605378,-0.13962313969855272,0.07276948490988012,-0.14797007299174544
HINDUNILVR.NS,HINDUNILVR.NS,0.1499560004977827,0.0706873173375974,0.1326650156162454,-0.0390915635378689,-0.08300390503413618,0.06261557609553842,-0.10481722545330519,0.06987141547488995,0.10845284586921067,0.06462173537791627,-0.017181785627404342,-0.053415105615560336
ICICIBANK.NS,ICICIBANK.NS,0.06602125955356619,-0.028397835275392202,-0.06481345627170507,-0.020445254538894855,0.1420994018222479,-0.03657478875388552,0.030728459768220084,-0.08903386586949007,-0.01244135481804901,0.1288129098745605,-0.01433601168173866,-0.032952262362415545
INDUSINDBK.NS,INDUSINDBK.NS,0.09741945461331404,0.05289293547083299,-0.005898406096230482,0.03891256206843655,0.0027770675650454226,-0.046514679138571546,0.10878377838704503,0.01736078426219818,0.06564957588387972,0.04798277319922555,0.1258121915440321,-0.07637285088808411
INFY.NS,INFY.NS,0.06522182689262204,-0.05341118352675733,0.06417205013884601,0.07593821110417567,0.011375167121597148,0.02120671211941247,-0.05792755969465067,-0.1542985985650928,0.11006934509093962,-0.08044098410419373,-0.08963910926974687,0.19805661995462426
ITC.NS,ITC.NS,-0.003996192367808898,0.005356385454492716,-0.14173540083244215,-0.12151490092666038,0.09736041492347619,0.0014029711248207345,-0.08555545501325337,0.04384771664752688,0.1045154573342435,-0.023975241010127442,-0.011070983982552242,-0.10147120905816777
JSWSTEEL.NS,JSWSTEEL.NS,-0.06858144020069601,0.04955870850408149,-0.0052114160936838315,0.021519486892534963,0.00027472303655589784,0.16120908596582129,0.05490169720769987,-0.13366194722698063,0.04632202510810271,-0.05492824702337839,-0.011805609837534122,-0.0797687535847173
KOTAKBANK.NS,KOTAKBANK.NS,-0.022259055007125293,0.10780330549292509,0.1461235139336867,0.04398504273431596,-0.002028243389466299,-0.0711404616351875,-0.08407627063549211,-0.08838251509975928,0.0353795808900067,0.11548892244807336,0.06804767535017306,-0.04991331828862318
LT.NS,LT.NS,0.06694743266095668,0.040100356455831244,-0.051461992919019435,-0.007323757304242475,0.07694080048992884,-0.06546126499328447,-0.04617766884272339,-0.04117977738776624,-0.10952164087443908,-0.051283689938509895,-0.11160765764447142,-0.009027791595077645
M&M.NS,M&M.NS,0.06762064069699252,-0.006280739792877633,-0.05000730247252432,-0.12745735754120932,-0.008192931474036885,-0.02227400001820536,-0.1429145312399449,-0.05646397762566473,-0.009889397495265002,0.04594811305369777,0.08132412033290472,-0.08175844165821551
MARUTI.NS,MARUTI.NS,0.021994005749890917,-0.061998864276752025,0.04787861806589283,0.060545136946249765,-0.0008175882328299959,-0.1368949262413508,-0.09317917308879335,0.11559538548158738,-0.07196751518573773,-0.019443158782612508,0.12410714437324054,0.022473796057577575
NTPC.NS,NTPC.NS,-0.08532936515647818,-0.0006025425063005025,-0.07957885141160811,-0.03977599152498666,0.0928966969797396,0.03167545808500496,0.1340164193986019,0.07217123866839865,-0.1193864871573693,-0.06642798719039453,-0.07323517072313641,-0.05769659267369153
ONGC.NS,ONGC.NS,-0.1939513716814558,0.018653068467609696,-0.12600773839905047,-0.022160951609098048,0.0706641218660479,-0.0683493507476919,0.011660335549756658,-0.03336421709840637,-0.11348635423563218,0.01189837674789904,0.014134448706888375,0.0870324500610496
POWERGRID.NS,POWERGRID.NS,-0.02708413048183854,0.12126031790703604,0.004124301267291726,-0.09980454010248274,0.1492026174185063,0.13001328796277517,0.12097540325631818,-0.02490022374073226,-0.08909054444364874,0.01284176979010868,-0.0014285422804185754,0.052462209562257264
